m1_cap,m2_cap,m1_prof,m2_prof,dem,prod_sim,obj_govt,m1_infl,m2_infl,m1_pub_price,m2_pub_price,m1_priv_price,m2_priv_price,m1_pub_quant,m2_pub_quant,m1_priv_quant,m2_priv_quant,govt_cost
4500000.0,2000000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2025000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2050000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2075000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2100000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2125000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2150000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2175000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2200000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2225000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2250000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2275000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2300000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2325000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2350000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2375000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2400000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2425000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2450000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2475000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2525000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2550000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2575000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2600000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2625000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2650000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
4500000.0,2675000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,7.78597,17.2264,15.7609,15.7609,2245780.0,987060.0,1681160.0,1681160.0,34489100.0
4500000.0,2700000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,7.02136,16.8008,15.7609,15.7609,2315990.0,1012060.0,1681160.0,1681160.0,33264900.0
4500000.0,2725000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,6.33882,16.3958,15.7609,15.7609,2378000.0,1037060.0,1681160.0,1681160.0,32077100.0
4500000.0,2750000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.73254,16.0099,15.7609,15.7609,2432370.0,1062060.0,1681160.0,1681160.0,30947100.0
4500000.0,2775000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.19727,15.6417,15.7609,15.7609,2479650.0,1087060.0,1681160.0,1681160.0,29890900.0
4500000.0,2800000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2825000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2850000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2875000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2900000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2925000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2950000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,2975000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3000000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3025000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3050000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3075000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3100000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3125000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3150000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3175000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3200000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3225000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3250000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3275000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3300000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3325000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3350000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,4.76939,15.3223,15.7609,15.7609,2516770.0,1109720.0,1681160.0,1681160.0,29006900.0
4500000.0,3375000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3400000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3425000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3450000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3475000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3525000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3550000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3575000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3600000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3625000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3650000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3675000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3700000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3725000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3750000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3775000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3800000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3825000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3850000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3875000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3900000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3925000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3950000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,3975000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4000000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4025000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4050000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4075000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4100000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4125000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4150000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4175000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4200000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4225000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4250000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4275000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4300000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4325000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4350000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4375000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4400000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4425000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4450000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4475000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
4500000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,5.12269,10.2264,15.7609,15.7609,2343200.0,1662700.0,1681160.0,1681160.0,29006900.0
